"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250501","분당선","야탑","17571","18765","20250504",""
"20250501","8호선","석촌","6970","8042","20250504",""
"20250501","분당선","서현","16548","17173","20250504",""
"20250501","경부선","독산","8851","8507","20250504",""
"20250501","경부선","수원","35103","38426","20250504",""
"20250501","경부선","화서","10324","10207","20250504",""
"20250501","경부선","성균관대","11786","11100","20250504",""
"20250501","경부선","의왕","5472","5457","20250504",""
"20250501","경부선","군포","3742","3622","20250504",""
"20250501","경부선","금정","18276","18354","20250504",""
"20250501","경부선","명학","4402","4266","20250504",""
"20250501","경부선","안양","18086","17551","20250504",""
"20250501","경부선","세류","2587","2577","20250504",""
"20250501","경부선","병점","11845","12024","20250504",""
"20250501","경부선","세마","2558","2408","20250504",""
"20250501","분당선","수내","8616","8439","20250504",""
"20250501","분당선","정자","9866","10684","20250504",""
"20250501","분당선","미금","10308","10587","20250504",""
"20250501","분당선","오리","6946","5957","20250504",""
"20250501","분당선","이매","4462","3968","20250504",""
"20250501","분당선","보정","1667","1526","20250504",""
"20250501","분당선","죽전","11494","12426","20250504",""
"20250501","분당선","구성","4593","5003","20250504",""
"20250501","분당선","신갈","2938","2936","20250504",""
"20250501","분당선","기흥","7818","7460","20250504",""
"20250501","분당선","상갈","3738","3838","20250504",""
"20250501","분당선","청명","3218","3156","20250504",""
"20250501","분당선","영통","7922","7515","20250504",""
"20250501","분당선","망포","9854","9870","20250504",""
"20250501","분당선","매탄권선","4120","3807","20250504",""
"20250501","분당선","수원시청","10252","10774","20250504",""
"20250501","분당선","매교","3819","3799","20250504",""
"20250501","분당선","복정","6","0","20250504",""
"20250501","경춘선","퇴계원","2517","2329","20250504",""
"20250501","경춘선","별내","1875","1748","20250504",""
"20250501","경춘선","갈매","1770","1589","20250504",""
"20250501","경춘선","신내","1917","1859","20250504",""
"20250501","경인선","도화","2938","2769","20250504",""
"20250501","경인선","중동","6413","6007","20250504",""
"20250501","경인선","온수(성공회대입구)","5329","4955","20250504",""
"20250501","경인선","도원","2707","2739","20250504",""
"20250501","경인선","간석","4307","4181","20250504",""
"20250501","경인선","부개","6224","5883","20250504",""
"20250501","경인선","소사","5272","4999","20250504",""
"20250501","경인선","구일","10648","11435","20250504",""
"20250501","경인선","인천","3040","2506","20250504",""
"20250501","경인선","동인천","9946","9775","20250504",""
"20250501","경인선","제물포","7491","7171","20250504",""
"20250501","경인선","주안","15059","13348","20250504",""
"20250501","경인선","동암","10979","11119","20250504",""
"20250501","경인선","백운","5047","4960","20250504",""
"20250501","경인선","부평","24704","25801","20250504",""
"20250501","경인선","송내","16896","16807","20250504",""
"20250501","경인선","부천","24374","24370","20250504",""
"20250501","경인선","역곡","20516","19925","20250504",""
"20250501","경인선","오류동","8735","7960","20250504",""
"20250501","경인선","개봉","16255","16074","20250504",""
"20250501","경의선","운천","2","2","20250504",""
"20250501","경의선","임진강","13","2","20250504",""
"20250501","경의선","문산","4287","4316","20250504",""
"20250501","경의선","파주","889","686","20250504",""
"20250501","경의선","월롱","1039","1049","20250504",""
"20250501","경의선","금촌","5201","5231","20250504",""
"20250501","경의선","금릉","3598","3637","20250504",""
"20250501","경의선","운정","4796","4658","20250504",""
"20250501","경의선","야당","6290","6489","20250504",""
"20250501","경의선","탄현","5373","5221","20250504",""
"20250501","6호선","효창공원앞","5857","5600","20250504",""
"20250501","6호선","삼각지(전쟁기념관)","7724","6706","20250504",""
"20250501","6호선","녹사평(용산구청)","4462","4480","20250504",""
"20250501","6호선","이태원","9825","10193","20250504",""
"20250501","6호선","한강진","8073","9655","20250504",""
"20250501","6호선","버티고개","1550","1652","20250504",""
"20250501","6호선","약수","3134","2886","20250504",""
"20250501","6호선","청구","2786","2621","20250504",""
"20250501","6호선","신당","7383","7572","20250504",""
"20250501","6호선","동묘앞","7345","7587","20250504",""
"20250501","6호선","창신","2998","2682","20250504",""
"20250501","6호선","보문","6515","5927","20250504",""
"20250501","6호선","안암(고대병원앞)","12226","11405","20250504",""
"20250501","6호선","고려대(종암)","8052","7567","20250504",""
"20250501","6호선","월곡(동덕여대)","9432","9003","20250504",""
"20250501","장항선","아산","4200","4225","20250504",""
"20250501","6호선","상월곡(한국과학기술연구원)","5782","5386","20250504",""
"20250501","6호선","돌곶이","7777","7308","20250504",""
"20250501","6호선","석계","10099","9893","20250504",""
"20250501","6호선","태릉입구","4745","5179","20250504",""
"20250501","6호선","화랑대(서울여대입구)","8552","6926","20250504",""
"20250501","6호선","봉화산(서울의료원)","5734","5446","20250504",""
"20250501","6호선","신내","1","0","20250504",""
"20250501","중앙선","지평","53","62","20250504",""
"20250501","중앙선","용문","1823","1871","20250504",""
"20250501","중앙선","원덕","298","288","20250504",""
"20250501","중앙선","양평","2610","2800","20250504",""
"20250501","중앙선","오빈","270","292","20250504",""
"20250501","중앙선","아신","502","503","20250504",""
"20250501","중앙선","국수","639","666","20250504",""
"20250501","중앙선","신원","179","175","20250504",""
"20250501","중앙선","양수","1704","1729","20250504",""
"20250501","중앙선","운길산","776","810","20250504",""
"20250501","중앙선","팔당","816","835","20250504",""
"20250501","중앙선","도심","1780","1578","20250504",""
"20250501","중앙선","덕소","4163","4307","20250504",""
"20250501","중앙선","양정","375","305","20250504",""
"20250501","중앙선","도농","6887","6382","20250504",""
"20250501","중앙선","구리","6134","6700","20250504",""
"20250501","중앙선","양원","2312","2288","20250504",""
"20250501","중앙선","망우","5915","5727","20250504",""
"20250501","중앙선","상봉","4504","4433","20250504",""
"20250501","중앙선","중랑","4121","3862","20250504",""
"20250501","중앙선","회기","23623","21893","20250504",""
"20250501","장항선","신창(순천향대)","3531","2458","20250504",""
"20250501","장항선","온양온천","4535","4750","20250504",""
"20250501","분당선","수원","7119","6537","20250504",""
"20250501","분당선","서울숲","8242","8126","20250504",""
"20250501","분당선","압구정로데오","15030","16759","20250504",""
"20250501","분당선","강남구청","5490","6294","20250504",""
"20250501","분당선","선정릉","3093","3035","20250504",""
"20250501","분당선","가천대","12473","12048","20250504",""
"20250501","분당선","태평","9929","9419","20250504",""
"20250501","수인선","야목","376","319","20250504",""
"20250501","수인선","어천","1223","1140","20250504",""
"20250501","1호선","서울역","53450","52569","20250504",""
"20250501","1호선","시청","18998","19266","20250504",""
"20250501","1호선","종각","23264","22013","20250504",""
"20250501","1호선","종로3가","21784","19393","20250504",""
"20250501","1호선","종로5가","20367","19761","20250504",""
"20250501","1호선","동대문","11081","10728","20250504",""
"20250501","1호선","신설동","10140","9465","20250504",""
"20250501","1호선","제기동","13019","13158","20250504",""
"20250501","1호선","청량리(서울시립대입구)","17537","17837","20250504",""
"20250501","1호선","동묘앞","6994","7204","20250504",""
"20250501","2호선","시청","15518","14123","20250504",""
"20250501","2호선","을지로입구","33056","32450","20250504",""
"20250501","2호선","을지로3가","15218","13686","20250504",""
"20250501","2호선","을지로4가","10433","10642","20250504",""
"20250501","2호선","동대문역사문화공원(DDP)","14208","16725","20250504",""
"20250501","2호선","신당","11947","12490","20250504",""
"20250501","2호선","상왕십리","10632","10343","20250504",""
"20250501","2호선","왕십리(성동구청)","13533","12065","20250504",""
"20250501","2호선","한양대","11475","12770","20250504",""
"20250501","2호선","뚝섬","14842","14916","20250504",""
"20250501","2호선","성수","33354","36003","20250504",""
"20250501","2호선","건대입구","33993","34372","20250504",""
"20250501","2호선","구의(광진구청)","18232","17805","20250504",""
"20250501","2호선","강변(동서울터미널)","21651","22354","20250504",""
"20250501","2호선","잠실나루","8447","8098","20250504",""
"20250501","2호선","잠실(송파구청)","75705","74901","20250504",""
"20250501","2호선","잠실새내","19575","20138","20250504",""
"20250501","2호선","종합운동장","17531","18136","20250504",""
"20250501","2호선","삼성(무역센터)","37037","35555","20250504",""
"20250501","2호선","선릉","27703","25043","20250504",""
"20250501","2호선","역삼","18263","20100","20250504",""
"20250501","2호선","강남","50209","49885","20250504",""
"20250501","2호선","교대(법원.검찰청)","20635","25392","20250504",""
"20250501","2호선","서초","13668","12774","20250504",""
"20250501","2호선","방배","9908","10055","20250504",""
"20250501","2호선","사당","30682","33473","20250504",""
"20250501","2호선","낙성대(강감찬)","21212","20106","20250504",""
"20250501","2호선","서울대입구(관악구청)","38288","35625","20250504",""
"20250501","2호선","봉천","17323","16192","20250504",""
"20250501","2호선","신림","42919","41654","20250504",""
"20250501","2호선","신대방","18846","17826","20250504",""
"20250501","2호선","구로디지털단지","33906","33321","20250504",""
"20250501","2호선","대림(구로구청)","17857","18277","20250504",""
"20250501","2호선","신도림","36680","35249","20250504",""
"20250501","2호선","문래","12499","12771","20250504",""
"20250501","2호선","영등포구청","13221","13847","20250504",""
"20250501","2호선","당산","11774","12638","20250504",""
"20250501","2호선","합정","24507","26406","20250504",""
"20250501","2호선","홍대입구","72400","77967","20250504",""
"20250501","2호선","신촌","33958","34606","20250504",""
"20250501","2호선","이대","15331","16203","20250504",""
"20250501","2호선","아현","8748","8396","20250504",""
"20250501","2호선","충정로(경기대입구)","5687","5982","20250504",""
"20250501","2호선","용답","2223","2113","20250504",""
"20250501","2호선","신답","1031","1088","20250504",""
"20250501","2호선","신설동","2835","2692","20250504",""
"20250501","2호선","도림천","833","824","20250504",""
"20250501","2호선","양천구청","4874","5049","20250504",""
"20250501","2호선","신정네거리","7658","7664","20250504",""
"20250501","2호선","용두(동대문구청)","1816","1770","20250504",""
"20250501","3호선","지축","5363","5418","20250504",""
"20250501","3호선","구파발","15424","15175","20250504",""
"20250501","3호선","연신내","27831","26826","20250504",""
"20250501","3호선","불광","12465","13507","20250504",""
"20250501","3호선","녹번","10741","9929","20250504",""
"20250501","3호선","홍제","14024","13512","20250504",""
"20250501","3호선","무악재","2901","2982","20250504",""
"20250501","3호선","독립문","6786","6841","20250504",""
"20250501","3호선","경복궁(정부서울청사)","28017","27170","20250504",""
"20250501","3호선","안국","21913","22903","20250504",""
"20250501","3호선","종로3가","8719","10203","20250504",""
"20250501","3호선","을지로3가","7852","7190","20250504",""
"20250501","3호선","충무로","1","0","20250504",""
"20250501","경의선","일산","7748","7636","20250504",""
"20250501","경의선","풍산","4500","4333","20250504",""
"20250501","경의선","백마","4786","4976","20250504",""
"20250501","경의선","곡산","379","432","20250504",""
"20250501","경의선","능곡","3348","3227","20250504",""
"20250501","경의선","행신","5550","5610","20250504",""
