"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250801","경부선","화서","11616","11332","20250804",""
"20250801","경부선","수원","41471","44777","20250804",""
"20250801","경부선","독산","16012","16093","20250804",""
"20250801","경부선","세류","3421","3211","20250804",""
"20250801","경부선","병점","14664","14425","20250804",""
"20250801","경부선","세마","3298","2992","20250804",""
"20250801","경부선","오산대","3419","3175","20250804",""
"20250801","경부선","오산","10730","10595","20250804",""
"20250801","경부선","진위","1508","1308","20250804",""
"20250801","경부선","송탄","4524","4165","20250804",""
"20250801","경부선","서정리","8607","7643","20250804",""
"20250801","경부선","평택지제","4407","4101","20250804",""
"20250801","경부선","평택","14162","13635","20250804",""
"20250801","경부선","성환","4254","3952","20250804",""
"20250801","경부선","직산","1103","1015","20250804",""
"20250801","경부선","두정","7291","7073","20250804",""
"20250801","경부선","천안","7076","7385","20250804",""
"20250801","경부선","당정","5515","5076","20250804",""
"20250801","경부선","서동탄","1459","1241","20250804",""
"20250801","경부선","광명","4003","3721","20250804",""
"20250801","경원선","이촌(국립중앙박물관)","3970","3149","20250804",""
"20250801","경원선","서빙고","2152","2064","20250804",""
"20250801","경원선","한남","3740","3668","20250804",""
"20250801","경원선","옥수","63","34","20250804",""
"20250801","경원선","응봉","1776","1476","20250804",""
"20250801","경원선","왕십리(성동구청)","17686","18155","20250804",""
"20250801","경원선","청량리(서울시립대입구)","18740","20092","20250804",""
"20250801","경원선","외대앞","9203","8767","20250804",""
"20250801","경원선","신이문","8168","7544","20250804",""
"20250801","경원선","석계","7090","8062","20250804",""
"20250801","경원선","광운대","7607","6961","20250804",""
"20250801","경원선","월계","5908","5456","20250804",""
"20250801","경원선","녹천","4311","3522","20250804",""
"20250801","경원선","창동","8","0","20250804",""
"20250801","경원선","방학","9553","9323","20250804",""
"20250801","경원선","도봉","5730","5353","20250804",""
"20250801","경원선","도봉산","7236","4566","20250804",""
"20250801","경원선","망월사","6933","6961","20250804",""
"20250801","경원선","회룡","12815","12370","20250804",""
"20250801","경원선","의정부","20259","20536","20250804",""
"20250801","경원선","가능","6110","6049","20250804",""
"20250801","경원선","녹양","4144","3931","20250804",""
"20250801","경원선","양주","7184","6890","20250804",""
"20250801","경원선","덕계","5870","5444","20250804",""
"20250801","경원선","덕정","5708","5317","20250804",""
"20250801","경원선","지행","6356","6401","20250804",""
"20250801","경원선","동두천중앙","3025","2983","20250804",""
"20250801","경원선","보산","1797","1483","20250804",""
"20250801","경원선","동두천","1826","1738","20250804",""
"20250801","경원선","소요산","2304","2367","20250804",""
"20250801","경원선","청산","169","154","20250804",""
"20250801","경원선","전곡","1276","1394","20250804",""
"20250801","경원선","연천","1572","1633","20250804",""
"20250801","경의선","서울역","3525","4879","20250804",""
"20250801","경의선","신촌","951","1148","20250804",""
"20250801","경의선","효창공원앞","3304","3594","20250804",""
"20250801","경의선","공덕","4374","3531","20250804",""
"20250801","경의선","서강대","2143","2102","20250804",""
"20250801","경의선","홍대입구","2462","2847","20250804",""
"20250801","경의선","가좌","6064","5658","20250804",""
"20250801","경의선","디지털미디어시티","2700","2515","20250804",""
"20250801","경의선","수색","3096","3072","20250804",""
"20250801","경의선","한국항공대","1840","1664","20250804",""
"20250801","경의선","강매","3085","2477","20250804",""
"20250801","경의선","행신","7635","7713","20250804",""
"20250801","경의선","능곡","4415","4101","20250804",""
"20250801","경의선","곡산","596","644","20250804",""
"20250801","경의선","백마","7117","6819","20250804",""
"20250801","경의선","풍산","6081","5834","20250804",""
"20250801","경의선","일산","10203","9873","20250804",""
"20250801","경의선","탄현","7420","7058","20250804",""
"20250801","경의선","야당","7682","7933","20250804",""
"20250801","경의선","운정","6668","6053","20250804",""
"20250801","경의선","금릉","4749","4510","20250804",""
"20250801","경의선","금촌","6964","6781","20250804",""
"20250801","경의선","월롱","2190","1530","20250804",""
"20250801","경의선","파주","1123","886","20250804",""
"20250801","경의선","문산","6024","5993","20250804",""
"20250801","경의선","임진강","21","3","20250804",""
"20250801","경의선","운천","4","3","20250804",""
"20250801","경의선","계양","1","0","20250804",""
"20250801","경인선","개봉","22114","21491","20250804",""
"20250801","경인선","오류동","11272","10326","20250804",""
"20250801","경인선","역곡","24232","24228","20250804",""
"20250801","경인선","부천","31522","31919","20250804",""
"20250801","경인선","송내","24874","24433","20250804",""
"20250801","경인선","부평","31835","34867","20250804",""
"20250801","경인선","백운","6719","6320","20250804",""
"20250801","경인선","동암","15019","15208","20250804",""
"20250801","경인선","주안","17834","15838","20250804",""
"20250801","경인선","제물포","9672","9125","20250804",""
"20250801","경인선","동인천","13514","12856","20250804",""
"20250801","경인선","인천","4618","3885","20250804",""
"20250801","경인선","구일","11648","13245","20250804",""
"20250801","경인선","소사","6813","6407","20250804",""
"20250801","경인선","부개","7988","7283","20250804",""
"20250801","경인선","간석","5432","5181","20250804",""
"20250801","경인선","도원","2715","2743","20250804",""
"20250801","경인선","온수(성공회대입구)","5657","5360","20250804",""
"20250801","경인선","중동","8869","8084","20250804",""
"20250801","경인선","도화","3729","3461","20250804",""
"20250801","경춘선","신내","2800","2639","20250804",""
"20250801","경춘선","갈매","2596","2311","20250804",""
"20250801","경춘선","별내","2560","2249","20250804",""
"20250801","경춘선","퇴계원","3323","2927","20250804",""
"20250801","경춘선","사릉","1923","1899","20250804",""
"20250801","경춘선","금곡","1620","1511","20250804",""
"20250801","경춘선","평내호평","6003","6036","20250804",""
"20250801","경춘선","천마산","1459","1370","20250804",""
"20250801","경춘선","마석","3847","3793","20250804",""
"20250801","경춘선","대성리","935","1005","20250804",""
"20250801","경춘선","청평","1930","2118","20250804",""
"20250801","경춘선","상천","278","265","20250804",""
"20250801","경춘선","가평","2841","2863","20250804",""
"20250801","경춘선","굴봉산","235","219","20250804",""
"20250801","경춘선","백양리","160","163","20250804",""
"20250801","경춘선","강촌","464","468","20250804",""
"20250801","경춘선","김유정","464","503","20250804",""
"20250801","경춘선","남춘천","3006","3359","20250804",""
"20250801","경춘선","춘천","1793","1612","20250804",""
"20250801","공항철도 1호선","서울역","14944","14324","20250804",""
"20250801","공항철도 1호선","공덕","3273","4183","20250804",""
"20250801","공항철도 1호선","홍대입구","16720","16494","20250804",""
"20250801","공항철도 1호선","디지털미디어시티","14652","13372","20250804",""
"20250801","공항철도 1호선","마곡나루(서울식물원)","13378","12387","20250804",""
"20250801","공항철도 1호선","김포공항","9592","5630","20250804",""
"20250801","공항철도 1호선","계양","9967","9363","20250804",""
"20250801","공항철도 1호선","검암","6619","6532","20250804",""
"20250801","공항철도 1호선","청라국제도시","7826","7325","20250804",""
"20250801","공항철도 1호선","운서","10342","10845","20250804",""
"20250801","공항철도 1호선","공항화물청사","2164","2310","20250804",""
"20250801","공항철도 1호선","인천공항1터미널","16760","16055","20250804",""
"20250801","공항철도 1호선","인천공항2터미널","9738","8491","20250804",""
"20250801","공항철도 1호선","영종","4536","4741","20250804",""
"20250801","과천선","선바위","7678","6744","20250804",""
"20250801","과천선","경마공원","8121","8237","20250804",""
"20250801","과천선","대공원","3110","3265","20250804",""
"20250801","과천선","과천","5701","5174","20250804",""
"20250801","과천선","정부과천청사","13841","14592","20250804",""
"20250801","과천선","인덕원","25515","25732","20250804",""
"20250801","과천선","평촌","17371","16742","20250804",""
"20250801","과천선","범계","29030","29024","20250804",""
"20250801","분당선","선릉","13579","20466","20250804",""
"20250801","분당선","한티","17157","17641","20250804",""
"20250801","분당선","도곡","7398","7561","20250804",""
"20250801","분당선","구룡","3250","3119","20250804",""
"20250801","분당선","개포동","4583","4599","20250804",""
"20250801","분당선","대모산입구","5780","5373","20250804",""
"20250801","분당선","수서","17684","19413","20250804",""
"20250801","분당선","수원","8603","8387","20250804",""
"20250801","분당선","서울숲","12693","13065","20250804",""
"20250801","분당선","압구정로데오","20498","23229","20250804",""
"20250801","분당선","강남구청","9998","11358","20250804",""
"20250801","분당선","선정릉","7878","7965","20250804",""
"20250801","분당선","가천대","6700","6586","20250804",""
"20250801","분당선","태평","13439","12892","20250804",""
"20250801","분당선","모란","19661","20166","20250804",""
"20250801","분당선","야탑","25360","26572","20250804",""
"20250801","분당선","서현","25506","25992","20250804",""
"20250801","분당선","수내","13745","13739","20250804",""
"20250801","분당선","정자","19034","19894","20250804",""
"20250801","분당선","미금","15218","15746","20250804",""
"20250801","분당선","오리","11136","9426","20250804",""
"20250801","분당선","이매","5175","4972","20250804",""
"20250801","분당선","보정","2352","2058","20250804",""
"20250801","분당선","죽전","12689","14161","20250804",""
"20250801","분당선","구성","7075","7111","20250804",""
"20250801","분당선","신갈","4737","4686","20250804",""
"20250801","분당선","기흥","10479","9562","20250804",""
"20250801","분당선","상갈","4992","4628","20250804",""
"20250801","분당선","청명","4487","4287","20250804",""
"20250801","분당선","영통","9090","8970","20250804",""
"20250801","분당선","망포","14979","13922","20250804",""
"20250801","분당선","매탄권선","5261","4918","20250804",""
"20250801","분당선","수원시청","13959","15942","20250804",""
"20250801","분당선","매교","4840","4735","20250804",""
"20250801","서해선","김포공항","3642","5263","20250804",""
"20250801","서해선","원종","5054","4910","20250804",""
"20250801","서해선","부천종합운동장","2912","2378","20250804",""
"20250801","수인선","고색","5137","4830","20250804",""
"20250801","수인선","오목천","4005","3245","20250804",""
"20250801","수인선","어천","1600","1368","20250804",""
"20250801","수인선","야목","643","536","20250804",""
"20250801","수인선","사리","4762","3808","20250804",""
"20250801","수인선","달월","89","69","20250804",""
"20250801","수인선","월곶","2774","2560","20250804",""
"20250801","수인선","소래포구","4619","4651","20250804",""
"20250801","수인선","인천논현","5165","5450","20250804",""
"20250801","수인선","호구포","3526","3649","20250804",""
"20250801","수인선","남동인더스파크","1772","1953","20250804",""
"20250801","수인선","원인재","4247","4322","20250804",""
"20250801","수인선","연수","4484","4585","20250804",""
"20250801","수인선","송도","2126","1952","20250804",""
"20250801","수인선","인하대","6087","5586","20250804",""
"20250801","수인선","숭의","4189","3906","20250804",""
"20250801","수인선","신포","1721","1779","20250804",""
"20250801","수인선","인천","1290","1997","20250804",""
"20250801","신림선","샛강","3061","3620","20250804",""
"20250801","신림선","대방","3253","2659","20250804",""
"20250801","신림선","서울지방병무청","3393","3607","20250804",""
"20250801","신림선","보라매","4542","3925","20250804",""
"20250801","신림선","보라매공원","2598","2730","20250804",""
"20250801","신림선","보라매병원","8208","8435","20250804",""
"20250801","신림선","당곡","5301","5071","20250804",""
"20250801","신림선","신림","2536","3077","20250804",""
"20250801","신림선","서원","3942","3302","20250804",""
"20250801","신림선","서울대벤처타운","10290","9194","20250804",""
"20250801","신림선","관악산(서울대)","3292","2924","20250804",""
"20250801","안산선","산본","16450","17645","20250804",""
"20250801","안산선","대야미","4887","4242","20250804",""
"20250801","안산선","반월","4199","4089","20250804",""
"20250801","안산선","상록수","13937","14109","20250804",""
"20250801","안산선","한대앞","8290","8130","20250804",""
"20250801","안산선","중앙","18034","19294","20250804",""
"20250801","안산선","고잔","8010","7596","20250804",""
"20250801","안산선","초지","4570","4423","20250804",""
"20250801","안산선","안산","12794","12897","20250804",""
"20250801","안산선","신길온천","1990","1838","20250804",""
"20250801","안산선","정왕","8887","8833","20250804",""
"20250801","안산선","오이도","7884","7947","20250804",""
"20250801","안산선","수리산","3836","3039","20250804",""
"20250801","우이신설선","북한산우이","3059","2830","20250804",""
"20250801","우이신설선","솔밭공원","2729","2553","20250804",""
"20250801","우이신설선","4.19민주묘지","3045","2791","20250804",""
"20250801","우이신설선","가오리","4356","4219","20250804",""
"20250801","우이신설선","화계","3660","3446","20250804",""
"20250801","우이신설선","삼양","2440","2551","20250804",""
"20250801","우이신설선","삼양사거리","2641","2590","20250804",""
"20250801","우이신설선","솔샘","5861","5358","20250804",""
"20250801","우이신설선","북한산보국문","5767","5343","20250804",""
"20250801","우이신설선","정릉","4511","3907","20250804",""
"20250801","우이신설선","성신여대입구(돈암)","3669","4058","20250804",""
"20250801","중앙선","용문","2396","2688","20250804",""
"20250801","중앙선","원덕","355","385","20250804",""
"20250801","중앙선","양평","3164","3584","20250804",""
"20250801","중앙선","오빈","274","294","20250804",""
"20250801","중앙선","아신","551","586","20250804",""
"20250801","중앙선","국수","730","777","20250804",""
"20250801","중앙선","신원","144","143","20250804",""
"20250801","중앙선","양수","1792","1785","20250804",""
"20250801","중앙선","운길산","564","529","20250804",""
"20250801","중앙선","팔당","728","795","20250804",""
"20250801","중앙선","도심","2570","1986","20250804",""
"20250801","중앙선","덕소","5202","5225","20250804",""
"20250801","중앙선","양정","525","422","20250804",""
"20250801","중앙선","도농","9012","8340","20250804",""
"20250801","중앙선","구리","7877","8341","20250804",""
"20250801","중앙선","양원","3070","2882","20250804",""
"20250801","중앙선","망우","7706","7366","20250804",""
"20250801","우이신설선","보문","1703","1683","20250804",""
"20250801","우이신설선","신설동","2456","2242","20250804",""
"20250801","일산선","원흥","11323","10701","20250804",""
"20250801","일산선","지축","1","0","20250804",""
"20250801","일산선","삼송","19436","18767","20250804",""
"20250801","일산선","원당","11291","10759","20250804",""
"20250801","일산선","화정","17202","17887","20250804",""
"20250801","일산선","대곡","10193","9197","20250804",""
"20250801","일산선","백석","10460","10794","20250804",""
"20250801","일산선","마두","7990","8184","20250804",""
"20250801","일산선","정발산","8038","8243","20250804",""
"20250801","일산선","주엽","9261","9087","20250804",""
"20250801","일산선","대화","11454","9409","20250804",""
"20250801","장항선","봉명","1326","1285","20250804",""
"20250801","장항선","쌍용(나사렛대)","2154","2030","20250804",""
"20250801","장항선","아산","4082","4060","20250804",""
"20250801","2호선","건대입구","36798","39523","20250804",""
"20250801","2호선","구의(광진구청)","28136","27356","20250804",""
"20250801","2호선","강변(동서울터미널)","29588","30203","20250804",""
"20250801","2호선","잠실나루","14822","13908","20250804",""
"20250801","2호선","잠실(송파구청)","89860","89034","20250804",""
