"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250401","7호선","노원","21448","22939","20250404",""
"20250401","7호선","중계","16944","15813","20250404",""
"20250401","7호선","하계","20895","19695","20250404",""
"20250401","7호선","공릉(서울과학기술대)","14673","14382","20250404",""
"20250401","7호선","태릉입구","10024","9460","20250404",""
"20250401","7호선","먹골","11272","11296","20250404",""
"20250401","7호선","중화","11872","12008","20250404",""
"20250401","7호선","상봉","19370","18667","20250404",""
"20250401","7호선","면목","17659","17175","20250404",""
"20250401","7호선","사가정","17884","18557","20250404",""
"20250401","7호선","용마산(용마폭포공원)","6361","6307","20250404",""
"20250401","7호선","중곡","12536","11820","20250404",""
"20250401","7호선","군자(능동)","16447","13100","20250404",""
"20250401","7호선","어린이대공원(세종대)","22156","23072","20250404",""
"20250401","7호선","건대입구","16056","16509","20250404",""
"20250401","7호선","자양(뚝섬한강공원)","11753","11449","20250404",""
"20250401","7호선","청담","21620","23274","20250404",""
"20250401","7호선","강남구청","19049","20738","20250404",""
"20250401","7호선","학동","27538","28019","20250404",""
"20250401","7호선","논현","21824","22189","20250404",""
"20250401","7호선","반포","7181","6820","20250404",""
"20250401","7호선","고속터미널","16992","15416","20250404",""
"20250401","7호선","내방","17214","17277","20250404",""
"20250401","7호선","이수","18792","18349","20250404",""
"20250401","7호선","남성","12958","12656","20250404",""
"20250401","7호선","숭실대입구(살피재)","18939","18978","20250404",""
"20250401","7호선","상도","14883","15143","20250404",""
"20250401","7호선","장승배기","10599","10271","20250404",""
"20250401","7호선","신대방삼거리","17086","16564","20250404",""
"20250401","7호선","보라매","7535","7910","20250404",""
"20250401","7호선","신풍","13459","12732","20250404",""
"20250401","7호선","대림(구로구청)","9357","9305","20250404",""
"20250401","7호선","남구로","17511","18372","20250404",""
"20250401","7호선","가산디지털단지","52796","52814","20250404",""
"20250401","7호선","철산","23670","23943","20250404",""
"20250401","7호선","광명사거리","24002","23877","20250404",""
"20250401","7호선","천왕","13346","12946","20250404",""
"20250401","7호선","온수(성공회대입구)","12674","11528","20250404",""
"20250401","8호선","암사역사공원","7236","6296","20250404",""
"20250401","8호선","암사","18512","17040","20250404",""
"20250401","8호선","천호(풍납토성)","18572","20976","20250404",""
"20250401","8호선","강동구청","12220","12651","20250404",""
"20250401","8호선","몽촌토성(평화의문)","8163","8371","20250404",""
"20250401","8호선","잠실(송파구청)","18432","21045","20250404",""
"20250401","8호선","석촌","9505","11048","20250404",""
"20250401","8호선","송파","10870","10709","20250404",""
"20250401","8호선","가락시장","9482","10239","20250404",""
"20250401","8호선","문정","26858","28269","20250404",""
"20250401","8호선","장지","19324","17779","20250404",""
"20250401","8호선","복정","12009","10313","20250404",""
"20250401","8호선","산성","7203","7397","20250404",""
"20250401","8호선","남한산성입구(성남법원.검찰청)","16389","15385","20250404",""
"20250401","8호선","단대오거리","14316","13474","20250404",""
"20250401","8호선","신흥","5690","5860","20250404",""
"20250401","8호선","수진","6042","5538","20250404",""
"20250401","8호선","모란","5288","4059","20250404",""
"20250401","8호선","남위례","8685","8783","20250404",""
"20250401","9호선","개화","3088","2089","20250404",""
"20250401","9호선","김포공항","5610","8914","20250404",""
"20250401","9호선","공항시장","3272","3489","20250404",""
"20250401","9호선","신방화","7846","7897","20250404",""
"20250401","9호선","마곡나루(서울식물원)","16039","15848","20250404",""
"20250401","9호선","양천향교","12154","12607","20250404",""
"20250401","9호선","가양","25135","24760","20250404",""
"20250401","9호선","증미","9542","9212","20250404",""
"20250401","9호선","등촌","14227","13735","20250404",""
"20250401","9호선","염창","19996","19453","20250404",""
"20250401","9호선","신목동","5304","4734","20250404",""
"20250401","9호선","선유도","10528","9657","20250404",""
"20250401","9호선","당산","20853","20439","20250404",""
