"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250601","6호선","창신","1935","1697","20250604",""
"20250601","2호선","사당","28256","30084","20250604",""
"20250601","일산선","원당","7351","7160","20250604",""
"20250601","2호선","방배","7845","7979","20250604",""
"20250601","2호선","서초","14905","14759","20250604",""
"20250601","2호선","교대(법원.검찰청)","11126","13595","20250604",""
"20250601","2호선","강남","34557","33557","20250604",""
"20250601","2호선","역삼","12571","13765","20250604",""
"20250601","2호선","선릉","17268","14701","20250604",""
"20250601","2호선","삼성(무역센터)","26836","26208","20250604",""
"20250601","2호선","종합운동장","18343","19973","20250604",""
"20250601","2호선","잠실새내","14769","14868","20250604",""
"20250601","2호선","잠실(송파구청)","58795","55405","20250604",""
"20250601","2호선","잠실나루","6274","6400","20250604",""
"20250601","2호선","강변(동서울터미널)","20767","20087","20250604",""
"20250601","2호선","구의(광진구청)","15556","15238","20250604",""
"20250601","2호선","건대입구","29524","29488","20250604",""
"20250601","2호선","성수","34726","37872","20250604",""
"20250601","2호선","뚝섬","16496","16127","20250604",""
"20250601","2호선","한양대","3314","4059","20250604",""
"20250601","2호선","왕십리(성동구청)","10299","10034","20250604",""
"20250601","2호선","상왕십리","8208","8366","20250604",""
"20250601","2호선","신당","9803","10271","20250604",""
"20250601","2호선","동대문역사문화공원(DDP)","12072","14693","20250604",""
"20250601","2호선","을지로4가","7293","7108","20250604",""
"20250601","2호선","을지로3가","14252","13867","20250604",""
"20250601","2호선","을지로입구","29202","28702","20250604",""
"20250601","2호선","시청","9520","7413","20250604",""
"20250601","1호선","동묘앞","15179","15334","20250604",""
"20250601","1호선","청량리(서울시립대입구)","17364","17451","20250604",""
"20250601","1호선","제기동","11588","12449","20250604",""
"20250601","1호선","신설동","9822","9763","20250604",""
"20250601","1호선","동대문","12347","13128","20250604",""
"20250601","1호선","종로5가","12965","12351","20250604",""
"20250601","1호선","종로3가","17675","15138","20250604",""
"20250601","1호선","종각","16498","14867","20250604",""
"20250601","1호선","시청","13012","12905","20250604",""
"20250601","1호선","서울역","54269","50150","20250604",""
"20250601","일산선","삼송","12060","11748","20250604",""
"20250601","일산선","원흥","6732","6653","20250604",""
"20250601","우이신설선","신설동","1654","1463","20250604",""
"20250601","우이신설선","보문","1308","1297","20250604",""
"20250601","우이신설선","성신여대입구(돈암)","2599","3053","20250604",""
"20250601","우이신설선","정릉","3476","2898","20250604",""
"20250601","우이신설선","북한산보국문","4414","3980","20250604",""
"20250601","우이신설선","솔샘","3435","3178","20250604",""
"20250601","우이신설선","삼양사거리","1878","1776","20250604",""
"20250601","우이신설선","삼양","1681","1767","20250604",""
"20250601","우이신설선","화계","2671","2453","20250604",""
"20250601","우이신설선","가오리","2809","2669","20250604",""
"20250601","우이신설선","4.19민주묘지","2501","2270","20250604",""
"20250601","우이신설선","솔밭공원","1713","1686","20250604",""
"20250601","우이신설선","북한산우이","3525","3454","20250604",""
"20250601","안산선","수리산","2478","2291","20250604",""
"20250601","안산선","오이도","6347","5924","20250604",""
"20250601","안산선","정왕","6871","7175","20250604",""
"20250601","안산선","신길온천","1663","1482","20250604",""
"20250601","안산선","안산","11535","10543","20250604",""
"20250601","안산선","초지","2937","2904","20250604",""
"20250601","안산선","고잔","5366","5209","20250604",""
"20250601","안산선","중앙","13627","13424","20250604",""
"20250601","안산선","한대앞","6636","6647","20250604",""
"20250601","안산선","상록수","9990","10007","20250604",""
"20250601","안산선","반월","2891","2872","20250604",""
"20250601","안산선","대야미","3338","3167","20250604",""
"20250601","안산선","산본","10764","11346","20250604",""
"20250601","신림선","관악산(서울대)","3746","3950","20250604",""
"20250601","신림선","서울대벤처타운","7093","6577","20250604",""
"20250601","신림선","서원","2468","2177","20250604",""
"20250601","신림선","신림","1811","2034","20250604",""
"20250601","신림선","당곡","3380","3041","20250604",""
"20250601","신림선","보라매병원","5481","4621","20250604",""
"20250601","신림선","보라매공원","4700","5964","20250604",""
"20250601","신림선","보라매","3199","3036","20250604",""
"20250601","신림선","서울지방병무청","2407","2679","20250604",""
"20250601","신림선","대방","2316","1822","20250604",""
"20250601","신림선","샛강","1121","1485","20250604",""
"20250601","수인선","인천","1352","1806","20250604",""
"20250601","수인선","신포","1577","1498","20250604",""
"20250601","수인선","숭의","2707","2330","20250604",""
"20250601","수인선","인하대","4001","3926","20250604",""
"20250601","수인선","송도","1864","1785","20250604",""
"20250601","수인선","연수","3704","3652","20250604",""
"20250601","수인선","원인재","3266","3252","20250604",""
"20250601","수인선","남동인더스파크","588","609","20250604",""
"20250601","수인선","호구포","2073","2148","20250604",""
"20250601","수인선","인천논현","3598","3731","20250604",""
